iter	Passed	Remaining
0	0	41
1	0	36
2	1	33
3	1	31
4	1	30
5	2	31
6	2	30
7	2	31
8	3	31
9	3	30
10	3	29
11	4	29
12	4	29
13	4	29
14	5	28
15	5	28
16	5	27
17	5	27
18	6	26
19	6	26
20	6	25
21	7	25
22	7	24
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	13	18
41	13	18
42	13	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	24	7
77	25	7
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	27	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	31	0
97	31	0
98	31	0
99	32	0
