iter	Passed	Remaining
0	0	792
1	1	699
2	1	648
3	2	632
4	3	629
5	3	623
6	4	659
7	5	653
8	5	636
9	6	631
10	6	624
11	7	625
12	8	618
13	8	613
14	9	610
15	9	604
16	10	603
17	10	596
18	11	592
19	12	590
20	12	590
21	13	586
22	13	584
23	14	583
24	14	583
25	15	579
26	16	576
27	16	572
28	17	572
29	17	571
30	18	570
31	18	569
32	19	570
33	20	568
34	20	565
35	21	564
36	21	567
37	22	567
38	22	565
39	23	564
40	24	562
41	24	561
42	25	559
43	25	557
44	26	554
45	26	552
46	27	550
47	27	550
48	28	554
49	29	553
50	29	552
51	30	551
52	30	550
53	31	547
54	31	546
55	32	545
56	32	545
57	33	544
58	34	545
59	34	544
60	35	543
61	35	543
62	36	542
63	36	541
64	37	541
65	38	540
66	38	539
67	39	537
68	39	536
69	40	536
70	40	534
71	41	533
72	41	532
73	42	530
74	42	528
75	43	527
76	43	525
77	44	524
78	44	523
79	45	523
80	46	522
81	46	522
82	47	519
83	47	518
84	48	517
85	48	517
86	49	515
87	49	514
88	50	514
89	50	513
90	51	512
91	51	511
92	52	511
93	52	510
94	53	509
95	53	508
96	54	506
97	54	505
98	55	503
99	55	503
100	56	502
101	56	500
102	57	499
103	57	498
104	58	497
105	58	497
106	59	497
107	60	496
108	60	495
109	61	494
110	61	494
111	62	493
112	62	492
113	63	492
114	63	491
115	64	491
116	64	489
117	65	489
118	65	488
119	66	487
120	66	486
121	67	484
122	67	483
123	68	483
124	68	482
125	69	481
126	69	479
127	70	478
128	70	477
129	71	477
130	71	477
131	72	476
132	73	476
133	73	475
134	74	474
135	74	474
136	75	473
137	75	474
138	76	473
139	77	473
140	77	473
141	78	472
142	78	471
143	79	471
144	79	470
145	80	469
146	80	469
147	81	468
148	81	467
149	82	467
150	82	466
151	83	465
152	84	465
153	84	465
154	85	464
155	85	463
156	86	463
157	86	462
158	87	462
159	87	461
160	88	459
161	88	459
162	89	459
163	90	458
164	90	458
165	91	457
166	91	457
167	92	456
168	92	455
169	93	455
170	93	454
171	94	454
172	94	453
173	95	452
174	95	452
175	96	451
176	97	451
177	97	450
178	98	449
179	98	448
180	98	447
181	99	447
182	99	446
183	100	445
184	101	444
185	101	443
186	101	443
187	102	442
188	103	442
189	104	443
190	104	443
191	105	442
192	105	442
193	106	441
194	106	441
195	107	440
196	107	440
197	108	439
198	108	438
199	109	438
200	110	437
201	110	436
202	111	436
203	111	435
204	112	435
205	112	434
206	113	433
207	113	433
208	114	432
209	114	431
210	115	431
211	116	431
212	116	430
213	117	431
214	118	431
215	118	430
216	119	429
217	119	429
218	120	428
219	120	428
220	121	427
221	121	426
222	122	426
223	123	426
224	123	425
225	124	425
226	124	424
227	125	423
228	125	422
229	126	422
230	126	421
231	127	420
232	127	420
233	128	419
234	129	420
235	129	419
236	130	418
237	130	418
238	131	417
239	131	417
240	132	416
241	132	416
242	133	415
243	133	414
244	134	414
245	135	414
246	135	413
247	136	412
248	136	412
249	137	411
250	137	411
251	138	410
252	138	409
253	139	408
254	139	408
255	140	407
256	140	407
257	141	406
258	141	406
259	142	405
260	143	405
261	143	404
262	144	404
263	144	403
264	145	402
265	145	402
266	146	401
267	146	401
268	147	400
269	148	400
270	148	399
271	149	398
272	149	398
273	150	397
274	150	397
275	151	396
276	151	395
277	152	395
278	152	394
279	153	394
280	153	393
281	154	392
282	154	392
283	155	391
284	155	390
285	156	390
286	156	389
287	157	389
288	157	388
289	158	388
290	159	387
